Id_Investment,y,x,Year,Country,Investor,Investor_2,Vector,Path,Area_EN,Area_ES,Detail_EN,Detail_ES,Investment,Location,Project_Type,Greenfield,Acquisition,Joint_Venture,Construction,Origin of seller,Stake,Research,Caso1,Link1,Caso2,Link2,Caso3,Link3,source 1 ,source 2,source 3,source 4,,,,,,,
009100,4.73292565799998, -71.146906949,2010,Colombia,Sinopec,,1,0,energy,energía,Hupecol (Houston American Energy),Hupecol (Houston American Energy),281,Casanare,Acquisition,0,1,0,,USA,,,,,,,,,https://www.lanota.com/index.php/CONFIDENCIAS/Sinopec-adquirio-activos-de-Hupecol-en-Colombia.html,Dealogic,,,,,,,,,
009100,4.68108357900003, -71.204721481,2010,Colombia,Sinopec,,1,0,energy,energía,Hupecol (Houston American Energy),Hupecol (Houston American Energy),281,Casanare,Acquisition,0,1,0,,USA,,,,,,,,,https://www.lanota.com/index.php/CONFIDENCIAS/Sinopec-adquirio-activos-de-Hupecol-en-Colombia.html,Dealogic,,,,,,,,,
009100,5.663992672, -71.114428113,2010,Colombia,Sinopec,,1,0,energy,energía,Hupecol (Houston American Energy),Hupecol (Houston American Energy),281,Casanare,Acquisition,0,1,0,,USA,,,,,,,,,https://www.lanota.com/index.php/CONFIDENCIAS/Sinopec-adquirio-activos-de-Hupecol-en-Colombia.html,Dealogic,,,,,,,,,
009100,4.66406449900001, -71.248682076,2010,Colombia,Sinopec,,1,0,energy,energía,Hupecol (Houston American Energy),Hupecol (Houston American Energy),281,Casanare,Acquisition,0,1,0,,USA,,,,,,,,,https://www.lanota.com/index.php/CONFIDENCIAS/Sinopec-adquirio-activos-de-Hupecol-en-Colombia.html,Dealogic,,,,,,,,,
009100,4.64499313900001, -71.26292359,2010,Colombia,Sinopec,,1,0,energy,energía,Hupecol (Houston American Energy),Hupecol (Houston American Energy),281,Casanare,Acquisition,0,1,0,,USA,,,,,,,,,https://www.lanota.com/index.php/CONFIDENCIAS/Sinopec-adquirio-activos-de-Hupecol-en-Colombia.html,Dealogic,,,,,,,,,
009100,4.87919238900003, -70.901832509,2010,Colombia,Sinopec,,1,0,energy,energía,Hupecol (Houston American Energy),Hupecol (Houston American Energy),281,Casanare,Acquisition,0,1,0,,USA,,,,,,,,,https://www.lanota.com/index.php/CONFIDENCIAS/Sinopec-adquirio-activos-de-Hupecol-en-Colombia.html,Dealogic,,,,,,,,,
009100,4.888911501, -70.894752822,2010,Colombia,Sinopec,,1,0,energy,energía,Hupecol (Houston American Energy),Hupecol (Houston American Energy),281,Casanare,Acquisition,0,1,0,,USA,,,,,,,,,https://www.lanota.com/index.php/CONFIDENCIAS/Sinopec-adquirio-activos-de-Hupecol-en-Colombia.html,Dealogic,,,,,,,,,
009100,5.550420869, -70.998253026,2010,Colombia,Sinopec,,1,0,energy,energía,Hupecol (Houston American Energy),Hupecol (Houston American Energy),281,Casanare,Acquisition,0,1,0,,USA,,,,,,,,,https://www.lanota.com/index.php/CONFIDENCIAS/Sinopec-adquirio-activos-de-Hupecol-en-Colombia.html,Dealogic,,,,,,,,,
009100,5.560128163, -70.99632798,2010,Colombia,Sinopec,,1,0,energy,energía,Hupecol (Houston American Energy),Hupecol (Houston American Energy),281,Casanare,Acquisition,0,1,0,,USA,,,,,,,,,https://www.lanota.com/index.php/CONFIDENCIAS/Sinopec-adquirio-activos-de-Hupecol-en-Colombia.html,Dealogic,,,,,,,,,
009100,4.71354357699999, -71.170340232,2010,Colombia,Sinopec,,1,0,energy,energía,Hupecol (Houston American Energy),Hupecol (Houston American Energy),281,Casanare,Acquisition,0,1,0,,USA,,,,,,,,,https://www.lanota.com/index.php/CONFIDENCIAS/Sinopec-adquirio-activos-de-Hupecol-en-Colombia.html,Dealogic,,,,,,,,,
